a12 a22 1
a13 a22 1
a13 a22 1
a11 a22 2
a12 a21 1
a11 a22 2
a13 a22 3
a12 a21 3
a13 a22 3
a13 a21 3
a11 a23 2
a11 a23 2
a12 a22 1
a12 a22 3
a11 a22 2
a11 a22 2
a11 a22 2
a12 a21 1
a11 a22 2
a14 a22 3
a12 a22 3
a13 a22 3
a12 a23 2
a12 a21 1
a11 a21 3
a11 a22 2
a12 a21 1
a11 a22 2
a14 a22 3
a13 a22 3
a12 a23 2
a11 a22 2
a12 a21 3
a12 a21 1
a11 a21 1
a12 a21 1
a12 a21 1
a11 a23 2
a13 a21 1
a13 a21 3
a12 a22 1
a12 a22 1
a13 a22 3
a14 a22 3
a12 a21 1
a11 a22 2
a14 a22 3
a12 a21 1
a12 a23 2
a12 a23 2
a12 a22 1
a12 a21 3
a11 a22 2
a13 a22 3
a12 a22 2
a13 a22 3
a13 a22 3
a14 a22 3
a12 a21 1
a12 a22 1
a12 a21 3
a13 a21 3
a11 a22 2
a11 a22 2
a12 a22 1
a12 a22 1
a12 a21 3
a11 a22 2
a11 a22 2
a11 a22 2
a14 a23 3
a14 a21 3
a12 a21 1
a12 a22 2
a11 a22 2
a11 a22 2
a11 a22 2
a13 a21 3
a11 a22 2
a12 a22 1
a13 a22 3
a11 a21 1
a13 a22 1
a13 a22 3
a13 a22 1
a11 a21 1
a12 a22 1
a13 a22 3
a12 a23 2
a13 a21 3
a11 a22 2
a11 a22 2
a13 a22 3
a13 a21 1
a12 a21 3
a14 a21 3
a11 a21 1
a13 a22 1
a12 a21 1
a13 a22 1
a13 a21 1
a12 a22 1
a13 a22 3
a13 a22 3
a13 a22 1
a11 a22 2
a11 a22 2
a13 a22 3
a11 a21 2
a11 a22 2
a11 a21 1
a11 a22 2
a13 a22 1
a11 a22 2
a12 a21 1
a12 a23 2
a14 a22 3
a13 a21 3
a13 a22 3
a13 a21 1
a12 a21 3
a11 a22 2
a13 a22 1
a12 a21 1
a11 a22 2
a11 a22 2
a12 a21 1
a11 a23 2
a13 a22 1
a13 a21 3
a11 a23 2
a13 a21 3
a14 a21 3
a12 a23 2
a11 a22 2
a12 a23 2
a11 a22 2
a12 a22 1
a13 a22 3
a12 a21 1
a14 a22 3
a13 a22 3
a13 a22 1
a13 a21 1
a12 a22 3
a12 a22 2
a12 a21 1
a13 a22 3
a14 a23 3
a11 a22 2
